UserID,ps,ngo,UserID,po,ngs,ActiveInterests,Travelling
10152246392371800,19.0,2.0,10152246392371800,76.0,0.0,Travelling,1.0
10152296001814000,21.0,0.0,10152296001814000,93.0,2.0,Travelling,1.0
10152309238564700,63.0,0.0,10152309238564700,196.0,4.0,Travelling,1.0
10152323067623900,24.0,3.0,10152323067623900,249.0,2.0,Travelling,1.0
10152340450508500,3.0,0.0,10152340450508500,114.0,1.0,Travelling,1.0
10152341161574500,93.0,10.0,10152341161574500,152.0,2.0,Travelling,1.0
10152341947155200,23.0,1.0,10152341947155200,44.0,1.0,Travelling,1.0
10152362409503500,37.0,11.0,10152362409503500,276.0,4.0,Travelling,1.0
10152372540996600,39.0,1.0,10152372540996600,120.0,7.0,Travelling,1.0
10152375392843200,31.0,0.0,10152375392843200,68.0,6.0,Travelling,1.0
10152381084536400,54.0,9.0,10152381084536400,243.0,8.0,Travelling,1.0
10152399286684700,20.0,3.0,10152399286684700,74.0,2.0,Travelling,1.0
10152425135321400,5.0,0.0,10152425135321400,189.0,0.0,Travelling,1.0
10152450004546300,4.0,0.0,10152450004546300,30.0,0.0,Travelling,1.0
10152488121233000,96.0,9.0,10152488121233000,216.0,10.0,Travelling,1.0
10152510515642000,10.0,3.0,10152510515642000,53.0,1.0,Travelling,1.0
10152522597565100,67.0,1.0,10152522597565100,93.0,2.0,Travelling,1.0
10152532931255800,30.0,2.0,10152532931255800,115.0,1.0,Travelling,1.0
10152538743191200,18.0,4.0,10152538743191200,163.0,5.0,Travelling,1.0
10152584838381400,12.0,6.0,10152584838381400,198.0,1.0,Travelling,1.0
10152610640359400,40.0,5.0,10152610640359400,84.0,4.0,Travelling,1.0
10152615081580000,19.0,8.0,10152615081580000,36.0,0.0,Travelling,1.0
10152627326721700,7.0,4.0,10152627326721700,36.0,4.0,Travelling,1.0
10152634315538900,5.0,0.0,10152634315538900,123.0,0.0,Travelling,1.0
10152650309764700,29.0,6.0,10152650309764700,230.0,5.0,Travelling,1.0
10152652192102600,26.0,1.0,10152652192102600,86.0,7.0,Travelling,1.0
10152695943027500,10.0,3.0,10152695943027500,44.0,0.0,Travelling,1.0
10152777031537100,9.0,2.0,10152777031537100,30.0,2.0,Travelling,1.0
10152777621985000,7.0,4.0,10152777621985000,50.0,1.0,Travelling,1.0
10152804031339900,19.0,2.0,10152804031339900,107.0,8.0,Travelling,1.0
10152811602256500,4.0,0.0,10152811602256500,117.0,0.0,Travelling,1.0
10152816956454000,32.0,3.0,10152816956454000,216.0,1.0,Travelling,1.0
10152833642201100,17.0,4.0,10152833642201100,60.0,4.0,Travelling,1.0
10152867195454600,11.0,1.0,10152867195454600,203.0,1.0,Travelling,1.0
10152867922883200,37.0,2.0,10152867922883200,85.0,3.0,Travelling,1.0
10152876555753400,70.0,2.0,10152876555753400,232.0,3.0,Travelling,1.0
10152931702423300,12.0,4.0,10152931702423300,22.0,0.0,Travelling,1.0
10152933964633200,56.0,5.0,10152933964633200,206.0,3.0,Travelling,1.0
10152951021437500,2.0,1.0,10152951021437500,90.0,1.0,Travelling,1.0
10152951858275400,14.0,0.0,10152951858275400,146.0,2.0,Travelling,1.0
10153006332843900,29.0,5.0,10153006332843900,114.0,5.0,Travelling,1.0
10153268505662600,37.0,4.0,10153268505662600,157.0,6.0,Travelling,1.0
10153297196147400,21.0,6.0,10153297196147400,39.0,2.0,Travelling,1.0
10153338636573900,89.0,17.0,10153338636573900,187.0,6.0,Travelling,1.0
10153404535233300,30.0,2.0,10153404535233300,74.0,2.0,Travelling,1.0
10153720340904900,6.0,1.0,10153720340904900,82.0,0.0,Travelling,1.0
10153821561015800,16.0,2.0,10153821561015800,72.0,0.0,Travelling,1.0
10153844740439100,28.0,2.0,10153844740439100,76.0,1.0,Travelling,1.0
10153982951320600,6.0,6.0,10153982951320600,93.0,3.0,Travelling,1.0
10154018807090500,136.0,9.0,10154018807090500,197.0,2.0,Travelling,1.0
10154024840190400,52.0,6.0,10154024840190400,107.0,4.0,Travelling,1.0
10154086931224500,46.0,7.0,10154086931224500,183.0,7.0,Travelling,1.0
10154341781985100,7.0,2.0,10154341781985100,34.0,1.0,Travelling,1.0
10154588675090400,7.0,2.0,10154588675090400,261.0,1.0,Travelling,1.0
10154747800920200,26.0,6.0,10154747800920200,85.0,3.0,Travelling,1.0
10154833783020500,39.0,4.0,10154833783020500,55.0,4.0,Travelling,1.0
10154874977075300,10.0,2.0,10154874977075300,24.0,1.0,Travelling,1.0
10155411471430300,3.0,0.0,10155411471430300,58.0,0.0,Travelling,1.0
10155436683090200,9.0,10.0,10155436683090200,106.0,3.0,Travelling,1.0
10155736935015500,16.0,0.0,10155736935015500,40.0,0.0,Travelling,1.0
10155739107595200,30.0,4.0,10155739107595200,69.0,6.0,Travelling,1.0
10155891693945400,11.0,2.0,10155891693945400,34.0,2.0,Travelling,1.0
10156098593025600,1.0,0.0,10156098593025600,220.0,1.0,Travelling,1.0
10200353413474900,8.0,0.0,10200353413474900,42.0,1.0,Travelling,1.0
10200506049449200,20.0,5.0,10200506049449200,68.0,6.0,Travelling,1.0
10200998504403400,19.0,0.0,10200998504403400,32.0,1.0,Travelling,1.0
10201337248752700,28.0,1.0,10201337248752700,239.0,1.0,Travelling,1.0
10201529390236200,57.0,10.0,10201529390236200,259.0,2.0,Travelling,1.0
10201841373222900,8.0,0.0,10201841373222900,28.0,0.0,Travelling,1.0
10201884269580700,32.0,15.0,10201884269580700,72.0,9.0,Travelling,1.0
10201916384026400,32.0,2.0,10201916384026400,230.0,0.0,Travelling,1.0
10202145470258200,74.0,11.0,10202145470258200,227.0,11.0,Travelling,1.0
10202385718759300,51.0,15.0,10202385718759300,135.0,2.0,Travelling,1.0
10202525629117200,63.0,6.0,10202525629117200,212.0,5.0,Travelling,1.0
10202616811240000,26.0,0.0,10202616811240000,30.0,1.0,Travelling,1.0
10202791957306400,4.0,7.0,10202791957306400,241.0,6.0,Travelling,1.0
10202824331482900,8.0,2.0,10202824331482900,43.0,3.0,Travelling,1.0
10203012760940300,64.0,11.0,10203012760940300,179.0,7.0,Travelling,1.0
10203042954648100,37.0,5.0,10203042954648100,226.0,4.0,Travelling,1.0
10203058198230100,7.0,4.0,10203058198230100,44.0,0.0,Travelling,1.0
10203401082859700,26.0,2.0,10203401082859700,195.0,2.0,Travelling,1.0
10203481087448700,24.0,7.0,10203481087448700,54.0,6.0,Travelling,1.0
10203483127896800,12.0,0.0,10203483127896800,38.0,2.0,Travelling,1.0
10203530275970600,1.0,0.0,10203530275970600,346.0,0.0,Travelling,1.0
10203546091234600,26.0,0.0,10203546091234600,83.0,0.0,Travelling,1.0
10203570719976300,33.0,1.0,10203570719976300,254.0,3.0,Travelling,1.0
10203573590119100,60.0,5.0,10203573590119100,74.0,1.0,Travelling,1.0
10203719403360200,19.0,1.0,10203719403360200,34.0,1.0,Travelling,1.0
10203751186482800,108.0,8.0,10203751186482800,199.0,12.0,Travelling,1.0
10203892591629000,26.0,1.0,10203892591629000,20.0,1.0,Travelling,1.0
10203917258205500,6.0,0.0,10203917258205500,161.0,0.0,Travelling,1.0
10203938272807900,40.0,6.0,10203938272807900,178.0,5.0,Travelling,1.0
10204060161015300,57.0,3.0,10204060161015300,174.0,3.0,Travelling,1.0
10204066183566700,15.0,3.0,10204066183566700,81.0,4.0,Travelling,1.0
10204179458299500,21.0,5.0,10204179458299500,29.0,5.0,Travelling,1.0
10204208296502500,27.0,5.0,10204208296502500,62.0,4.0,Travelling,1.0
10204210157794300,9.0,0.0,10204210157794300,38.0,3.0,Travelling,1.0
10204256214340500,4.0,2.0,10204256214340500,70.0,3.0,Travelling,1.0
10204293459393900,34.0,1.0,10204293459393900,53.0,3.0,Travelling,1.0
10204502682880600,43.0,0.0,10204502682880600,76.0,0.0,Travelling,1.0
10204576216379800,14.0,3.0,10204576216379800,80.0,0.0,Travelling,1.0
10204577508507800,13.0,2.0,10204577508507800,196.0,1.0,Travelling,1.0
