,PostTextPolarity,PostTextSubjectivity,cluster
0,0.0,0.0,0
1,0.357142857143,0.535714285714,1
2,1.0,1.0,4
3,0.0,0.0,0
4,0.469090909091,0.390909090909,1
5,0.9,0.875,4
6,0.625,0.65,1
7,0.0,0.0,0
8,0.56875,0.4,1
9,0.0,0.0,0
10,0.0833333333333,0.0833333333333,0
11,0.0,0.1,0
12,0.0,0.975,3
13,0.0,0.0,0
14,0.25,0.25,2
15,0.0,0.0,0
16,0.0,0.5,3
17,-0.234375,0.5,3
18,0.0,0.0,0
19,1.0,1.0,4
20,1.0,1.0,4
21,0.529464285714,0.590476190476,1
22,0.0,0.0,0
23,-0.4171875,0.725,5
24,0.0,0.0,0
25,1.0,1.0,4
26,1.0,0.3,4
27,0.5,0.6,1
28,0.0,0.0,0
29,0.0,0.0,0
30,0.0,0.0,0
31,-0.09765625,1.0,3
32,0.9,0.875,4
33,0.0,0.0,0
34,0.78125,0.5,4
35,1.0,1.0,4
36,0.121875,0.5375,3
37,0.357142857143,0.535714285714,1
38,0.625,0.9,4
39,1.0,1.0,4
40,0.78125,0.5,4
41,0.428571428571,0.517857142857,1
42,0.716666666667,0.916666666667,4
43,0.716666666667,0.916666666667,4
44,0.0,0.0,0
45,-0.00625,0.35,3
46,0.8125,1.0,4
47,0.65625,0.925,4
48,0.541666666667,0.833333333333,1
49,0.208333333333,0.166666666667,2
50,0.219791666667,0.414814814815,2
51,0.607291666667,0.666666666667,1
52,1.0,1.0,4
53,0.0,0.0,0
54,0.0,0.0,0
55,1.0,0.3,4
56,0.0,0.0,0
57,0.65625,0.925,4
58,0.458333333333,0.7,1
59,0.0,0.0,0
60,0.875,0.6,4
61,0.484375,0.625,1
62,0.770833333333,0.916666666667,4
63,0.0,0.0,0
64,0.0,0.9,3
65,0.5,0.5,1
66,1.0,1.0,4
67,0.0,0.0,0
68,0.0,0.0,0
69,0.390625,1.0,1
70,0.0,1.0,3
71,1.0,0.75,4
72,1.0,1.0,4
73,0.9375,0.9,4
74,0.78125,1.0,4
75,1.0,1.0,4
76,0.85,0.95,4
77,0.604166666667,0.583333333333,1
78,0.811111111111,0.861111111111,4
79,0.375,0.2,2
80,0.390625,0.75,1
